Date,Home Team,Away Team,Score,Season
05/08/2022,Olympique Lyonnais,AC Ajaccio,2:1 (2:1),2022-2023
06/08/2022,RC Strasbourg,AS Monaco,1:2 (0:1),2022-2023
,Clermont Foot 63,Paris Saint-Germain,0:5 (0:3),2022-2023
07/08/2022,Toulouse FC,OGC Nice,1:1 (1:0),2022-2023
,Montpellier HSC,ESTAC Troyes,3:2 (2:2),2022-2023
,Lille OSC,AJ Auxerre,4:1 (3:0),2022-2023
,RC Lens,Stade Brestois 29,3:2 (1:0),2022-2023
,Angers SCO,FC Nantes,0:0 (0:0),2022-2023
,Stade Rennais,FC Lorient,0:1 (0:0),2022-2023
,Olympique Marseille,Stade de Reims,4:1 (2:0),2022-2023
12/08/2022,FC Nantes,Lille OSC,1:1 (1:0),2022-2023
13/08/2022,AS Monaco,Stade Rennais,1:1 (0:0),2022-2023
,Paris Saint-Germain,Montpellier HSC,5:2 (2:0),2022-2023
14/08/2022,AC Ajaccio,RC Lens,0:0 (0:0),2022-2023
,AJ Auxerre,Angers SCO,2:2 (2:1),2022-2023
,ESTAC Troyes,Toulouse FC,0:3 (0:1),2022-2023
,Stade de Reims,Clermont Foot 63,2:4 (2:0),2022-2023
,OGC Nice,RC Strasbourg,1:1 (1:0),2022-2023
,Stade Brestois 29,Olympique Marseille,1:1 (0:1),2022-2023
07/09/2022,FC Lorient,Olympique Lyonnais,3:1 (2:1),2022-2023
19/08/2022,Olympique Lyonnais,ESTAC Troyes,4:1 (1:1),2022-2023
20/08/2022,AS Monaco,RC Lens,1:4 (1:2),2022-2023
,Olympique Marseille,FC Nantes,2:1 (0:0),2022-2023
21/08/2022,RC Strasbourg,Stade de Reims,1:1 (1:0),2022-2023
,Clermont Foot 63,OGC Nice,1:0 (1:0),2022-2023
,Toulouse FC,FC Lorient,2:2 (1:1),2022-2023
,Montpellier HSC,AJ Auxerre,1:2 (1:0),2022-2023
,Angers SCO,Stade Brestois 29,1:3 (0:2),2022-2023
,Stade Rennais,AC Ajaccio,2:1 (1:0),2022-2023
,Lille OSC,Paris Saint-Germain,1:7 (0:4),2022-2023
26/08/2022,AC Ajaccio,Lille OSC,1:3 (0:2),2022-2023
27/08/2022,AJ Auxerre,RC Strasbourg,1:0 (1:0),2022-2023
,RC Lens,Stade Rennais,2:1 (0:0),2022-2023
28/08/2022,FC Nantes,Toulouse FC,3:1 (0:1),2022-2023
,ESTAC Troyes,Angers SCO,3:1 (1:0),2022-2023
,FC Lorient,Clermont Foot 63,2:1 (2:0),2022-2023
,OGC Nice,Olympique Marseille,0:3 (0:3),2022-2023
,Stade Brestois 29,Montpellier HSC,0:7 (0:5),2022-2023
,Stade de Reims,Olympique Lyonnais,1:1 (1:0),2022-2023
,Paris Saint-Germain,AS Monaco,1:1 (0:1),2022-2023
31/08/2022,AS Monaco,ESTAC Troyes,2:4 (1:2),2022-2023
,Montpellier HSC,AC Ajaccio,2:0 (1:0),2022-2023
,Olympique Lyonnais,AJ Auxerre,2:1 (1:0),2022-2023
,RC Strasbourg,FC Nantes,1:1 (1:0),2022-2023
,Angers SCO,Stade de Reims,2:4 (0:2),2022-2023
,Toulouse FC,Paris Saint-Germain,0:3 (0:1),2022-2023
,Olympique Marseille,Clermont Foot 63,1:0 (0:0),2022-2023
,Lille OSC,OGC Nice,1:2 (1:2),2022-2023
,RC Lens,FC Lorient,5:2 (2:1),2022-2023
,Stade Rennais,Stade Brestois 29,3:1 (0:0),2022-2023
03/09/2022,AJ Auxerre,Olympique Marseille,0:2 (0:1),2022-2023
,Olympique Lyonnais,Angers SCO,5:0 (2:0),2022-2023
,FC Nantes,Paris Saint-Germain,0:3 (0:1),2022-2023
04/09/2022,Montpellier HSC,Lille OSC,1:3 (1:1),2022-2023
,AC Ajaccio,FC Lorient,0:1 (0:0),2022-2023
,Clermont Foot 63,Toulouse FC,2:0 (0:0),2022-2023
,Stade Brestois 29,RC Strasbourg,1:1 (1:1),2022-2023
,Stade de Reims,RC Lens,1:1 (0:0),2022-2023
,ESTAC Troyes,Stade Rennais,1:1 (1:0),2022-2023
,OGC Nice,AS Monaco,0:1 (0:0),2022-2023
09/09/2022,RC Lens,ESTAC Troyes,1:0 (1:0),2022-2023
10/09/2022,Paris Saint-Germain,Stade Brestois 29,1:0 (1:0),2022-2023
,Olympique Marseille,Lille OSC,2:1 (1:1),2022-2023
11/09/2022,RC Strasbourg,Clermont Foot 63,0:0 (0:0),2022-2023
,AC Ajaccio,OGC Nice,0:1 (0:0),2022-2023
,FC Lorient,FC Nantes,3:2 (1:1),2022-2023
,Toulouse FC,Stade de Reims,1:0 (1:0),2022-2023
,Angers SCO,Montpellier HSC,2:1 (1:1),2022-2023
,Stade Rennais,AJ Auxerre,5:0 (1:0),2022-2023
