Date,Home Team,Away Team,Score,Season
05/08/2022,Eintracht Frankfurt,Bayern München,1:6 (0:5),2022-2023
06/08/2022,1. FC Union Berlin,Hertha BSC,3:1 (1:0),2022-2023
,Bor. Mönchengladbach,1899 Hoffenheim,3:1 (1:1),2022-2023
,VfL Wolfsburg,Werder Bremen,2:2 (1:2),2022-2023
,VfL Bochum,1. FSV Mainz 05,1:2 (1:1),2022-2023
,FC Augsburg,SC Freiburg,0:4 (0:0),2022-2023
,Borussia Dortmund,Bayer Leverkusen,1:0 (1:0),2022-2023
07/08/2022,VfB Stuttgart,RB Leipzig,1:1 (1:1),2022-2023
,1. FC Köln,FC Schalke 04,3:1 (0:0),2022-2023
12/08/2022,SC Freiburg,Borussia Dortmund,1:3 (1:0),2022-2023
13/08/2022,Bayer Leverkusen,FC Augsburg,1:2 (1:1),2022-2023
,RB Leipzig,1. FC Köln,2:2 (1:1),2022-2023
,1899 Hoffenheim,VfL Bochum,3:2 (2:2),2022-2023
,Hertha BSC,Eintracht Frankfurt,1:1 (1:0),2022-2023
,Werder Bremen,VfB Stuttgart,2:2 (1:1),2022-2023
,FC Schalke 04,Bor. Mönchengladbach,2:2 (1:0),2022-2023
14/08/2022,1. FSV Mainz 05,1. FC Union Berlin,0:0 (0:0),2022-2023
,Bayern München,VfL Wolfsburg,2:0 (2:0),2022-2023
19/08/2022,Bor. Mönchengladbach,Hertha BSC,1:0 (1:0),2022-2023
20/08/2022,Borussia Dortmund,Werder Bremen,2:3 (1:0),2022-2023
,Bayer Leverkusen,1899 Hoffenheim,0:3 (0:2),2022-2023
,VfL Wolfsburg,FC Schalke 04,0:0 (0:0),2022-2023
,FC Augsburg,1. FSV Mainz 05,1:2 (1:1),2022-2023
,VfB Stuttgart,SC Freiburg,0:1 (0:1),2022-2023
,1. FC Union Berlin,RB Leipzig,2:1 (2:0),2022-2023
21/08/2022,Eintracht Frankfurt,1. FC Köln,1:1 (0:0),2022-2023
,VfL Bochum,Bayern München,0:7 (0:4),2022-2023
26/08/2022,SC Freiburg,VfL Bochum,1:0 (0:0),2022-2023
27/08/2022,RB Leipzig,VfL Wolfsburg,2:0 (1:0),2022-2023
,1. FSV Mainz 05,Bayer Leverkusen,0:3 (0:3),2022-2023
,1899 Hoffenheim,FC Augsburg,1:0 (1:0),2022-2023
,Hertha BSC,Borussia Dortmund,0:1 (0:1),2022-2023
,FC Schalke 04,1. FC Union Berlin,1:6 (1:3),2022-2023
,Bayern München,Bor. Mönchengladbach,1:1 (0:1),2022-2023
28/08/2022,1. FC Köln,VfB Stuttgart,0:0 (0:0),2022-2023
,Werder Bremen,Eintracht Frankfurt,3:4 (2:3),2022-2023
02/09/2022,Borussia Dortmund,1899 Hoffenheim,1:0 (1:0),2022-2023
03/09/2022,Bayer Leverkusen,SC Freiburg,2:3 (1:0),2022-2023
,1. FC Union Berlin,Bayern München,1:1 (1:1),2022-2023
,VfL Wolfsburg,1. FC Köln,2:4 (1:3),2022-2023
,VfL Bochum,Werder Bremen,0:2 (0:0),2022-2023
,VfB Stuttgart,FC Schalke 04,1:1 (1:1),2022-2023
,Eintracht Frankfurt,RB Leipzig,4:0 (2:0),2022-2023
04/09/2022,FC Augsburg,Hertha BSC,0:2 (0:0),2022-2023
,Bor. Mönchengladbach,1. FSV Mainz 05,0:1 (0:0),2022-2023
09/09/2022,Werder Bremen,FC Augsburg,0:1 (0:0),2022-2023
10/09/2022,Bayern München,VfB Stuttgart,2:2 (1:0),2022-2023
,RB Leipzig,Borussia Dortmund,3:0 (2:0),2022-2023
,1899 Hoffenheim,1. FSV Mainz 05,4:1 (0:0),2022-2023
,Eintracht Frankfurt,VfL Wolfsburg,0:1 (0:0),2022-2023
,Hertha BSC,Bayer Leverkusen,2:2 (0:0),2022-2023
,FC Schalke 04,VfL Bochum,3:1 (1:0),2022-2023
11/09/2022,1. FC Köln,1. FC Union Berlin,0:1 (0:1),2022-2023
,SC Freiburg,Bor. Mönchengladbach,0:0 (0:0),2022-2023
16/09/2022,1. FSV Mainz 05,Hertha BSC,1:1 (0:1),2022-2023
17/09/2022,Borussia Dortmund,FC Schalke 04,1:0 (0:0),2022-2023
,Bayer Leverkusen,Werder Bremen,1:1 (0:0),2022-2023
,FC Augsburg,Bayern München,1:0 (0:0),2022-2023
,VfB Stuttgart,Eintracht Frankfurt,1:3 (0:1),2022-2023
,Bor. Mönchengladbach,RB Leipzig,3:0 (2:0),2022-2023
18/09/2022,1. FC Union Berlin,VfL Wolfsburg,2:0 (0:0),2022-2023
,VfL Bochum,1. FC Köln,1:1 (1:0),2022-2023
,1899 Hoffenheim,SC Freiburg,0:0 (0:0),2022-2023
30/09/2022,Bayern München,Bayer Leverkusen,4:0 (3:0),2022-2023
01/10/2022,RB Leipzig,VfL Bochum,4:0 (2:0),2022-2023
,SC Freiburg,1. FSV Mainz 05,2:1 (2:0),2022-2023
,1. FC Köln,Borussia Dortmund,3:2 (0:1),2022-2023
,Eintracht Frankfurt,1. FC Union Berlin,2:0 (2:0),2022-2023
,VfL Wolfsburg,VfB Stuttgart,3:2 (2:2),2022-2023
,Werder Bremen,Bor. Mönchengladbach,5:1 (4:0),2022-2023
02/10/2022,Hertha BSC,1899 Hoffenheim,1:1 (1:1),2022-2023
,FC Schalke 04,FC Augsburg,2:3 (1:2),2022-2023
07/10/2022,1899 Hoffenheim,Werder Bremen,1:2 (1:1),2022-2023
08/10/2022,Bayer Leverkusen,FC Schalke 04,4:0 (2:0),2022-2023
,1. FSV Mainz 05,RB Leipzig,1:1 (1:0),2022-2023
,VfL Bochum,Eintracht Frankfurt,3:0 (0:0),2022-2023
,FC Augsburg,VfL Wolfsburg,1:1 (0:1),2022-2023
,Borussia Dortmund,Bayern München,2:2 (0:1),2022-2023
09/10/2022,Bor. Mönchengladbach,1. FC Köln,5:2 (2:1),2022-2023
,Hertha BSC,SC Freiburg,2:2 (1:1),2022-2023
,VfB Stuttgart,1. FC Union Berlin,0:1 (0:0),2022-2023
14/10/2022,FC Schalke 04,1899 Hoffenheim,0:3 (0:2),2022-2023
