Date,Home Team,Away Team,Score,Season
05/08/2022,İstanbulspor AŞ,Trabzonspor,0:2 (0:1),2022-2023
06/08/2022,Sivasspor,Gaziantep FK,1:1 (0:1),2022-2023
,Beşiktaş,Kayserispor,1:0 (0:0),2022-2023
07/08/2022,Giresunspor,Adana Demirspor,2:3 (0:2),2022-2023
,Fatih Karagümrük,Alanyaspor,2:4 (0:2),2022-2023
,Antalyaspor,Galatasaray,0:1 (0:0),2022-2023
08/08/2022,İstanbul Başakşehir,Kasımpaşa SK,4:0 (2:0),2022-2023
,MKE Ankaragücü,Konyaspor,0:0 (0:0),2022-2023
,Fenerbahçe,Ümraniyespor,3:3 (2:1),2022-2023
12/08/2022,Trabzonspor,Hatayspor,1:0 (0:0),2022-2023
13/08/2022,Kayserispor,İstanbulspor AŞ,1:0 (1:0),2022-2023
,Adana Demirspor,Sivasspor,3:0 (1:0),2022-2023
,Galatasaray,Giresunspor,0:1 (0:0),2022-2023
14/08/2022,Gaziantep FK,MKE Ankaragücü,1:0 (0:0),2022-2023
,Ümraniyespor,Antalyaspor,0:1 (0:0),2022-2023
,Alanyaspor,Beşiktaş,3:3 (1:3),2022-2023
15/08/2022,Konyaspor,İstanbul Başakşehir,0:0 (0:0),2022-2023
,Kasımpaşa SK,Fenerbahçe,0:6 (0:3),2022-2023
19/08/2022,Ümraniyespor,Galatasaray,0:1 (0:0),2022-2023
20/08/2022,Giresunspor,Kasımpaşa SK,1:0 (0:0),2022-2023
,Hatayspor,Gaziantep FK,1:2 (1:1),2022-2023
,Antalyaspor,Trabzonspor,5:2 (2:1),2022-2023
21/08/2022,İstanbul Başakşehir,Kayserispor,2:0 (1:0),2022-2023
,Beşiktaş,Fatih Karagümrük,4:1 (2:0),2022-2023
22/08/2022,İstanbulspor AŞ,Konyaspor,0:4 (0:2),2022-2023
,Sivasspor,Alanyaspor,1:1 (1:0),2022-2023
,Fenerbahçe,Adana Demirspor,4:2 (2:0),2022-2023
26/08/2022,Gaziantep FK,Antalyaspor,5:2 (1:2),2022-2023
27/08/2022,Fatih Karagümrük,MKE Ankaragücü,4:1 (2:0),2022-2023
,Adana Demirspor,Ümraniyespor,1:0 (1:0),2022-2023
,Alanyaspor,İstanbulspor AŞ,0:1 (0:0),2022-2023
28/08/2022,Kasımpaşa SK,Hatayspor,1:0 (1:0),2022-2023
,Kayserispor,Giresunspor,3:0 (1:0),2022-2023
,Trabzonspor,Galatasaray,0:0 (0:0),2022-2023
29/08/2022,Konyaspor,Fenerbahçe,1:0 (0:0),2022-2023
,Beşiktaş,Sivasspor,3:1 (3:0),2022-2023
02/09/2022,Ümraniyespor,Trabzonspor,0:1 (0:0),2022-2023
03/09/2022,İstanbul Başakşehir,Alanyaspor,2:0 (1:0),2022-2023
,Sivasspor,Fatih Karagümrük,0:0 (0:0),2022-2023
,Fenerbahçe,Kayserispor,2:0 (1:0),2022-2023
,Giresunspor,Konyaspor,0:1 (0:0),2022-2023
04/09/2022,Hatayspor,Adana Demirspor,1:1 (1:0),2022-2023
,MKE Ankaragücü,Beşiktaş,2:3 (1:2),2022-2023
,Antalyaspor,Kasımpaşa SK,0:2 (0:1),2022-2023
05/09/2022,Galatasaray,Gaziantep FK,2:1 (1:1),2022-2023
09/09/2022,Alanyaspor,MKE Ankaragücü,2:1 (0:0),2022-2023
10/09/2022,Konyaspor,Hatayspor,1:0 (0:0),2022-2023
,Fatih Karagümrük,Giresunspor,1:1 (0:0),2022-2023
11/09/2022,Sivasspor,İstanbulspor AŞ,1:1 (0:0),2022-2023
,Gaziantep FK,Ümraniyespor,1:1 (0:0),2022-2023
,Kasımpaşa SK,Galatasaray,2:3 (1:1),2022-2023
,Kayserispor,Antalyaspor,1:0 (0:0),2022-2023
12/09/2022,Beşiktaş,İstanbul Başakşehir,0:1 (0:0),2022-2023
,Adana Demirspor,Trabzonspor,3:2 (1:1),2022-2023
16/09/2022,Galatasaray,Konyaspor,2:1 (1:1),2022-2023
,Hatayspor,Kayserispor,0:4 (0:2),2022-2023
17/09/2022,Ümraniyespor,Kasımpaşa SK,1:2 (0:1),2022-2023
,Antalyaspor,Adana Demirspor,0:3 (0:1),2022-2023
,İstanbulspor AŞ,Beşiktaş,2:2 (1:2),2022-2023
18/09/2022,İstanbul Başakşehir,Fatih Karagümrük,0:0 (0:0),2022-2023
,Trabzonspor,Gaziantep FK,3:2 (2:2),2022-2023
,MKE Ankaragücü,Sivasspor,2:1 (2:0),2022-2023
,Fenerbahçe,Alanyaspor,5:0 (3:0),2022-2023
01/10/2022,Kasımpaşa SK,Gaziantep FK,1:0 (0:0),2022-2023
,MKE Ankaragücü,İstanbul Başakşehir,1:2 (0:1),2022-2023
,Kayserispor,Trabzonspor,1:2 (1:0),2022-2023
,Adana Demirspor,Galatasaray,0:0 (0:0),2022-2023
02/10/2022,Alanyaspor,Giresunspor,1:1 (0:0),2022-2023
,Sivasspor,Hatayspor,1:2 (1:2),2022-2023
,Konyaspor,Ümraniyespor,1:0 (1:0),2022-2023
,Beşiktaş,Fenerbahçe,0:0 (0:0),2022-2023
03/10/2022,Fatih Karagümrük,İstanbulspor AŞ,1:2 (1:0),2022-2023
07/10/2022,Gaziantep FK,Adana Demirspor,1:1 (0:0),2022-2023
08/10/2022,İstanbulspor AŞ,MKE Ankaragücü,1:2 (0:1),2022-2023
,Antalyaspor,Konyaspor,1:1 (0:0),2022-2023
,Giresunspor,Beşiktaş,0:1 (0:1),2022-2023
09/10/2022,Ümraniyespor,Kayserispor,2:2 (0:1),2022-2023
,Hatayspor,Alanyaspor,1:0 (0:0),2022-2023
,Fenerbahçe,Fatih Karagümrük,5:4 (2:2),2022-2023
10/10/2022,İstanbul Başakşehir,Sivasspor,0:2 (0:1),2022-2023
,Trabzonspor,Kasımpaşa SK,0:0 (0:0),2022-2023
14/10/2022,Alanyaspor,Antalyaspor,3:2 (1:0),2022-2023
15/10/2022,Fatih Karagümrük,Hatayspor,3:0 (2:0),2022-2023
,Kasımpaşa SK,Adana Demirspor,1:4 (0:2),2022-2023
,Kayserispor,Galatasaray,2:1 (2:0),2022-2023
,Konyaspor,Gaziantep FK,0:1 (0:0),2022-2023
16/10/2022,İstanbul Başakşehir,İstanbulspor AŞ,2:0 (1:0),2022-2023
,Beşiktaş,Trabzonspor,2:2 (1:2),2022-2023
17/10/2022,MKE Ankaragücü,Fenerbahçe,0:3 (0:2),2022-2023
