Brand,Seri,Model,Title,Year,KM,Price
Volkswagen,Golf,1.6 TDI BlueMotion Comfortline,DOĞAN OTOMOTIV'DEN OTOMATİK VİTES ŞERİT TAKİP TABELA OKUYUCU,2015,212.000,880.000 TL
Renault,Megane,1.5 dCi Icon,DOĞAN OTOMOTIV'DEN ICON CAM TAVAN 18 JANT SEDEF BEYAZ EN DOLUSU,2018,136.000,980.000 TL
Volkswagen,Passat,1.6 TDI BlueMotion Comfortline,2018 ÇIKIŞ R-LİNE GÖNÜNÜM + 18 JANT + LED FAR + TABLED + KAMERA.,2017,141.000,1.299.000 TL
Volkswagen,Polo,1.4 Comfortline,GÜNEŞ AUTO'DAN HATASIZ BOYASIZ,2013,124.000,675.000 TL
Opel,Astra,1.6 CDTI Design,BAKIMLI TEMİZ DÜŞÜK KM DOLU PAKET,2016,218.000,649.000 TL
Audi,A3,A3 Sedan 30 TFSI,"HATASIZ, BOYASIZ, DEĞIŞENSIZ, CAM TAVAN, MATRİX, K ISITMA",2021,74.650,1.785.000 TL
BMW,5 Serisi,520i Standart,BMW 5.20İ OTOMATİK VİTES ORİJİNAL ÇOK TEMİZ,1998,420.000,460.000 TL
Mercedes-Benz,A Serisi,A 200 AMG,2023 MODEL A200 AMG+ FL GECE-HYBRID-M­ULTIBEAM-ÇİFT HAFIZA-BRMSTR,2023,49.000,2.230.000 TL
Volkswagen,Passat,1.6 TDI BlueMotion Comfortline,2015+COMFORTLİNE+1.6 TDİ+DSG+SADECE 219000 BİN+ HATASIZ BOYASIZ,2015,219.000,1.095.500 TL
Volkswagen,Jetta,1.4 TSI BlueMotion Highline,2016 - OTOMATİK - 144.000 KM - SUNROOF - HIGHLINE - İÇ BEJ,2016,144.500,1.060.000 TL
Hyundai,Accent,1.5 CRDi Admire,SAYILGAN MOTORS - 2005 MODEL. KAPUT - TAVAN - BAGAJ BOYASIZ..,2005,247.000,275.000 TL
Honda,Civic,1.6 i ES,1.6 İES 128.000 KM DEĞİŞENSİZ BENZİNLİ MANUEL VİTES,1998,128.000,510.000 TL
Ford,Focus,1.6 TDCi Trend X,HAK MOTORS / FOCUS - 2015 - 135.000 KM - GERİ GÖRÜŞ,2015,135.000,775.000 TL
Ford,Focus,1.5 TDCi Trend X,DOĞAN OTOMOTIV'DEN HASAR KAYITSIZ DİZEL OTOMATİK TREN X,2017,146.000,875.000 TL
Volkswagen,Passat,2.0 TDI Comfortline,KUSURSUZ TEMİZLİKTE CAM GİBİ OTOMATİK VW PASSAT,2006,314.000,535.000 TL
Renault,Clio,1.0 TCe Icon,"YILMAZLAR**46 BİNDE 2021 ZENON HAYALET ELMAS JANT**1,99 KREDİ",2021,46.000,937.000 TL
Renault,Clio,1.0 TCe Icon,ATA/2020 CLİO 1.0 TCE İCON DÜŞÜK KM/280 BİN PEŞİN KALANI 36 AY,2020,25.000,949.000 TL
Cupra,Leon,1.5 eTSI,Hatasız-boyasız full ppf Cupra Leon,2023,36.500,1.700.000 TL
Volkswagen,Golf,1.5 TSI Comfortline,|YTY|2020 VW GOLF 1.5TSI COMFORTLİNE DSG TEK PARÇABOYA %20FATURA,2020,158.500,1.067.000 TL
